time	Czujnik	data	temperature [°C]	u	time	Czujnik	data	temperature [°C]	ON/OFF
12:33:29	CRT	121	12,1	1	12:33:29	HRT	164	16,4	22
12:33:30	CRT	121	12,1	1	12:33:30	HRT	164	16,4	22
12:33:31	CRT	121	12,1	1	12:33:31	HRT	164	16,4	22
12:33:31	CRT	121	12,1	1	12:33:31	HRT	164	16,4	22
12:33:32	CRT	121	12,1	1	12:33:32	HRT	164	16,4	22
12:33:33	CRT	121	12,1	1	12:33:33	HRT	164	16,4	22
12:33:33	CRT	121	12,1	1	12:33:33	HRT	164	16,4	22
12:33:34	CRT	121	12,1	1	12:33:34	HRT	164	16,4	22
12:33:34	CRT	121	12,1	1	12:33:34	HRT	165	16,5	22
12:33:35	CRT	121	12,1	1	12:33:35	HRT	165	16,5	22
12:33:36	CRT	121	12,1	1	12:33:36	HRT	165	16,5	22
12:33:37	CRT	121	12,1	1	12:33:37	HRT	166	16,6	22
12:33:37	CRT	121	12,1	1	12:33:37	HRT	166	16,6	22
12:33:38	CRT	121	12,1	1	12:33:38	HRT	166	16,6	22
12:33:38	CRT	121	12,1	1	12:33:38	HRT	166	16,6	22
12:33:39	CRT	121	12,1	1	12:33:39	HRT	166	16,6	22
12:33:40	CRT	121	12,1	1	12:33:40	HRT	166	16,6	22
12:33:40	CRT	121	12,1	1	12:33:40	HRT	166	16,6	22
12:33:41	CRT	121	12,1	1	12:33:41	HRT	166	16,6	22
12:33:42	CRT	121	12,1	1	12:33:42	HRT	166	16,6	22
12:33:42	CRT	121	12,1	1	12:33:42	HRT	166	16,6	22
12:33:43	CRT	121	12,1	1	12:33:43	HRT	167	16,7	22
12:33:44	CRT	121	12,1	1	12:33:44	HRT	167	16,7	22
12:33:44	CRT	121	12,1	1	12:33:44	HRT	167	16,7	22
12:33:45	CRT	121	12,1	1	12:33:45	HRT	168	16,8	22
12:33:46	CRT	121	12,1	1	12:33:46	HRT	168	16,8	22
12:33:46	CRT	121	12,1	1	12:33:46	HRT	168	16,8	22
12:33:47	CRT	121	12,1	1	12:33:47	HRT	168	16,8	22
12:33:48	CRT	121	12,1	1	12:33:48	HRT	168	16,8	22
12:33:48	CRT	121	12,1	1	12:33:48	HRT	168	16,8	22
12:33:49	CRT	121	12,1	1	12:33:49	HRT	168	16,8	22
12:33:50	CRT	121	12,1	1	12:33:50	HRT	168	16,8	22
12:33:50	CRT	121	12,1	1	12:33:50	HRT	169	16,9	22
12:33:51	CRT	121	12,1	1	12:33:51	HRT	169	16,9	22
12:33:52	CRT	121	12,1	1	12:33:52	HRT	169	16,9	22
12:33:52	CRT	121	12,1	1	12:33:52	HRT	169	16,9	22
12:33:53	CRT	121	12,1	1	12:33:53	HRT	170	17	22
12:33:54	CRT	121	12,1	1	12:33:54	HRT	170	17	22
12:33:54	CRT	121	12,1	1	12:33:54	HRT	170	17	22
12:33:55	CRT	121	12,1	1	12:33:55	HRT	170	17	22
12:33:56	CRT	121	12,1	1	12:33:56	HRT	170	17	22
12:33:56	CRT	121	12,1	1	12:33:56	HRT	171	17,1	22
12:33:57	CRT	121	12,1	1	12:33:57	HRT	171	17,1	22
12:33:58	CRT	121	12,1	1	12:33:58	HRT	171	17,1	22
12:33:58	CRT	121	12,1	1	12:33:58	HRT	171	17,1	22
12:33:59	CRT	121	12,1	1	12:33:59	HRT	171	17,1	22
12:34:00	CRT	121	12,1	1	12:34:00	HRT	171	17,1	22
12:34:00	CRT	121	12,1	1	12:34:00	HRT	171	17,1	22
12:34:01	CRT	121	12,1	1	12:34:01	HRT	171	17,1	22
12:34:02	CRT	121	12,1	1	12:34:02	HRT	172	17,2	22
12:34:02	CRT	121	12,1	1	12:34:02	HRT	172	17,2	22
12:34:03	CRT	121	12,1	1	12:34:03	HRT	172	17,2	22
12:34:03	CRT	121	12,1	1	12:34:03	HRT	172	17,2	22
12:34:04	CRT	121	12,1	1	12:34:04	HRT	172	17,2	22
12:34:05	CRT	121	12,1	1	12:34:05	HRT	173	17,3	22
12:34:05	CRT	121	12,1	1	12:34:05	HRT	173	17,3	22
12:34:06	CRT	121	12,1	1	12:34:06	HRT	173	17,3	22
12:34:07	CRT	121	12,1	1	12:34:07	HRT	173	17,3	22
12:34:07	CRT	121	12,1	1	12:34:07	HRT	173	17,3	22
12:34:08	CRT	121	12,1	1	12:34:08	HRT	173	17,3	22
12:34:09	CRT	121	12,1	1	12:34:09	HRT	173	17,3	22
12:34:09	CRT	121	12,1	1	12:34:09	HRT	173	17,3	22
12:34:10	CRT	121	12,1	1	12:34:10	HRT	174	17,4	22
12:34:11	CRT	121	12,1	1	12:34:11	HRT	174	17,4	22
